date,customer_code,market,product_code,product,variant,sold_quantity,gross_price,total_gross_sales,pre_invoice_discount_pct,net_inoice_sales,post_invoice_deduction,net_sales
2017-09-01,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.58,0.2803,44.319126,0.3905,27.0125072970
2017-11-01,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,16,15.3952,246.32,0.2803,177.276504,0.4139,103.9017589944
2017-12-01,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.58,0.2803,44.319126,0.3295,29.7159739830
2018-01-01,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,6,15.3952,92.37,0.2803,66.478689,0.3244,44.9130022884
2018-03-01,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,9,15.3952,138.56,0.2803,99.721632,0.3766,62.1664653888
2018-04-01,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,6,15.3952,92.37,0.2803,66.478689,0.3615,42.4466429265
2018-05-01,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,7,15.3952,107.77,0.2803,77.562069,0.3173,52.9516245063
2018-07-01,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.3952,153.95,0.2803,110.797815,0.3501,72.0074999685
2018-08-01,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,6,15.3952,92.37,0.2803,66.478689,0.3740,41.6156593140
2017-09-01,90023030,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.3952,61.58,0.2117,48.543514,0.2863,34.6455059418
